match id,odiurl,exception
ID Not Available,http://www.espncricinfo.com/ci/engine/match/471428.html,Main page issue
ID Not Available,http://www.espncricinfo.com/ci/engine/match/464696.html,Main page issue
ID Not Available,http://www.espncricinfo.com/ci/engine/match/437319.html,Main page issue
ID Not Available,http://www.espncricinfo.com/ci/engine/match/234346.html,Main page issue
ID Not Available,http://www.espncricinfo.com/ci/engine/match/214663.html,Main page issue
79,http://www.espncricinfo.com/ci/engine/match/326101.html,bowl issues
79,http://www.espncricinfo.com/ci/engine/match/326101.html,bowl issues
79,http://www.espncricinfo.com/ci/engine/match/326101.html,bowl issues
79,http://www.espncricinfo.com/ci/engine/match/326101.html,bowl issues
ID Not Available,http://www.espncricinfo.com/ci/engine/match/322697.html,Main page issue
ID Not Available,http://www.espncricinfo.com/ci/engine/match/322696.html,Main page issue
ID Not Available,http://www.espncricinfo.com/ci/engine/match/322695.html,Main page issue
ID Not Available,http://www.espncricinfo.com/ci/engine/match/322694.html,Main page issue
ID Not Available,http://www.espncricinfo.com/ci/engine/match/322693.html,Main page issue
ID Not Available,http://www.espncricinfo.com/ci/engine/match/322692.html,Main page issue
ID Not Available,http://www.espncricinfo.com/ci/engine/match/322691.html,Main page issue
ID Not Available,http://www.espncricinfo.com/ci/engine/match/322690.html,Main page issue
ID Not Available,http://www.espncricinfo.com/ci/engine/match/322689.html,Main page issue
ID Not Available,http://www.espncricinfo.com/ci/engine/match/322688.html,Main page issue
ID Not Available,http://www.espncricinfo.com/ci/engine/match/322687.html,Main page issue
ID Not Available,http://www.espncricinfo.com/ci/engine/match/322686.html,Main page issue
ID Not Available,http://www.espncricinfo.com/ci/engine/match/293114.html,Main page issue
